fromnode,tonode,clientID,a,budget,clientRatio
6,9,0,11,20.43,1.8572727272727272
6,9,1,2,3.57,1.785
6,9,2,3,4.86,1.62
6,9,3,13,16.9,1.2999999999999998
6,9,4,4,3.06,0.765
6,12,0,14,21.04,1.502857142857143
6,12,1,19,10.28,0.5410526315789473
6,12,2,8,3.46,0.4325
6,12,3,14,4.61,0.3292857142857143
6,12,4,7,1.81,0.25857142857142856
6,19,0,2,7.8,3.9
6,19,1,19,72.0,3.789473684210526
6,19,2,8,20.6,2.575
6,19,3,19,45.65,2.4026315789473682
6,19,4,2,4.58,2.29
6,41,0,19,59.34,3.1231578947368424
6,41,1,5,13.36,2.6719999999999997
6,41,2,19,30.53,1.6068421052631578
6,41,3,5,7.6,1.52
6,41,4,6,3.98,0.6633333333333333
6,46,0,3,4.12,1.3733333333333333
6,46,1,11,12.64,1.1490909090909092
6,46,2,18,19.14,1.0633333333333335
6,46,3,20,11.22,0.561
6,46,4,12,3.78,0.315
6,50,0,8,34.83,4.35375
6,50,1,11,44.18,4.016363636363637
6,50,2,10,29.52,2.952
6,50,3,15,31.5,2.1
6,50,4,8,5.15,0.64375
6,68,0,10,31.04,3.104
6,68,1,16,35.37,2.210625
6,68,2,14,13.8,0.9857142857142858
6,68,3,11,10.16,0.9236363636363637
6,68,4,3,2.29,0.7633333333333333
6,74,0,19,126.95,6.681578947368421
6,74,1,19,125.77,6.619473684210526
6,74,2,3,19.27,6.423333333333333
6,74,3,12,60.82,5.068333333333333
6,74,4,11,33.46,3.041818181818182
6,83,0,3,0.89,0.2966666666666667
6,83,1,10,2.31,0.231
6,83,2,9,1.56,0.17333333333333334
6,83,3,15,1.64,0.10933333333333332
6,83,4,3,0.1,0.03333333333333333
9,6,0,13,22.66,1.7430769230769232
9,6,1,15,11.18,0.7453333333333333
9,6,2,2,0.98,0.49
9,6,3,20,5.96,0.298
9,6,4,12,1.45,0.12083333333333333
9,12,0,9,13.27,1.4744444444444444
9,12,1,15,10.6,0.7066666666666667
9,12,2,8,5.6,0.7
9,12,3,10,2.73,0.273
9,12,4,16,3.12,0.195
9,19,0,13,29.0,2.230769230769231
9,19,1,14,28.3,2.0214285714285714
9,19,2,9,15.03,1.67
9,19,3,12,19.4,1.6166666666666665
9,19,4,5,1.39,0.27799999999999997
9,41,0,14,23.27,1.6621428571428571
9,41,1,5,3.95,0.79
9,41,2,19,12.28,0.6463157894736842
9,41,3,8,1.24,0.155
9,41,4,10,1.32,0.132
9,46,0,17,11.17,0.6570588235294118
9,46,1,5,2.42,0.484
9,46,2,20,8.05,0.4025
9,46,3,2,0.66,0.33
9,46,4,18,5.18,0.28777777777777774
9,50,0,16,74.6,4.6625
9,50,1,7,23.29,3.327142857142857
9,50,2,13,39.08,3.006153846153846
9,50,3,4,10.53,2.6325
9,50,4,2,3.2,1.6
9,68,0,4,11.56,2.89
9,68,1,7,13.4,1.9142857142857144
9,68,2,19,10.7,0.5631578947368421
9,68,3,2,0.84,0.42
9,68,4,20,3.92,0.196
9,74,0,16,106.57,6.660625
9,74,1,5,21.76,4.352
9,74,2,12,49.74,4.1450000000000005
9,74,3,15,50.41,3.3606666666666665
9,74,4,16,16.94,1.05875
9,83,0,7,14.81,2.1157142857142857
9,83,1,4,6.75,1.6875
9,83,2,6,7.14,1.19
9,83,3,9,9.98,1.108888888888889
9,83,4,10,2.72,0.272
12,6,0,18,56.24,3.1244444444444444
12,6,1,3,7.24,2.4133333333333336
12,6,2,9,16.48,1.8311111111111111
12,6,3,17,22.42,1.3188235294117647
12,6,4,17,18.88,1.1105882352941177
12,9,0,7,9.46,1.3514285714285716
12,9,1,8,8.35,1.04375
12,9,2,8,7.32,0.915
12,9,3,6,3.8,0.6333333333333333
12,9,4,17,10.06,0.591764705882353
12,19,0,1,0.67,0.67
12,19,1,13,6.58,0.5061538461538462
12,19,2,9,3.0,0.3333333333333333
12,19,3,16,4.12,0.2575
12,19,4,8,1.25,0.15625
12,41,0,12,15.84,1.32
12,41,1,7,6.81,0.9728571428571428
12,41,2,12,7.77,0.6475
12,41,3,4,1.42,0.355
12,41,4,12,1.94,0.16166666666666665
12,46,0,16,15.48,0.9675
12,46,1,20,17.95,0.8975
12,46,2,12,10.27,0.8558333333333333
12,46,3,16,10.84,0.6775
12,46,4,7,2.7,0.38571428571428573
12,50,0,4,29.56,7.39
12,50,1,3,20.42,6.8066666666666675
12,50,2,7,28.25,4.035714285714286
12,50,3,6,22.16,3.6933333333333334
12,50,4,11,10.97,0.9972727272727273
12,68,0,6,14.16,2.36
12,68,1,15,29.01,1.9340000000000002
12,68,2,3,5.24,1.7466666666666668
12,68,3,13,14.96,1.1507692307692308
12,68,4,1,0.44,0.44
12,74,0,20,98.99,4.9495
12,74,1,1,4.07,4.07
12,74,2,5,15.82,3.164
12,74,3,12,11.48,0.9566666666666667
12,74,4,18,15.05,0.8361111111111111
12,83,0,7,21.72,3.1028571428571428
12,83,1,4,8.13,2.0325
12,83,2,5,8.5,1.7
12,83,3,7,8.38,1.1971428571428573
12,83,4,7,1.74,0.24857142857142858
19,6,0,2,7.29,3.645
19,6,1,12,43.18,3.598333333333333
19,6,2,14,46.97,3.355
19,6,3,8,24.68,3.085
19,6,4,11,12.68,1.1527272727272726
19,9,0,1,2.04,2.04
19,9,1,19,36.33,1.9121052631578948
19,9,2,5,6.31,1.262
19,9,3,17,17.54,1.031764705882353
19,9,4,17,6.54,0.3847058823529412
19,12,0,11,5.16,0.4690909090909091
19,12,1,16,6.85,0.428125
19,12,2,6,2.53,0.42166666666666663
19,12,3,4,1.55,0.3875
19,12,4,5,0.69,0.13799999999999998
19,41,0,4,3.02,0.755
19,41,1,17,8.28,0.4870588235294117
19,41,2,4,1.79,0.4475
19,41,3,2,0.47,0.235
19,41,4,9,0.62,0.06888888888888889
19,46,0,20,32.94,1.6469999999999998
19,46,1,20,17.97,0.8985
19,46,2,9,7.21,0.8011111111111111
19,46,3,3,2.36,0.7866666666666666
19,46,4,18,2.03,0.11277777777777777
19,50,0,17,134.94,7.937647058823529
19,50,1,9,70.08,7.786666666666666
19,50,2,17,126.02,7.412941176470588
19,50,3,7,49.83,7.118571428571428
19,50,4,18,123.38,6.854444444444444
19,68,0,10,20.01,2.0010000000000003
19,68,1,3,5.18,1.7266666666666666
19,68,2,13,15.25,1.1730769230769231
19,68,3,5,5.55,1.1099999999999999
19,68,4,14,3.9,0.2785714285714286
19,74,0,5,21.24,4.247999999999999
19,74,1,5,20.65,4.13
19,74,2,8,26.55,3.31875
19,74,3,4,7.41,1.8525
19,74,4,12,9.33,0.7775
19,83,0,14,60.07,4.2907142857142855
19,83,1,7,11.55,1.6500000000000001
19,83,2,13,20.51,1.5776923076923077
19,83,3,16,13.55,0.846875
19,83,4,8,6.73,0.84125
41,6,0,3,10.52,3.5066666666666664
41,6,1,17,51.92,3.0541176470588236
41,6,2,15,33.19,2.2126666666666663
41,6,3,1,1.95,1.95
41,6,4,1,1.74,1.74
41,9,0,4,11.85,2.9625
41,9,1,8,23.39,2.92375
41,9,2,17,49.16,2.891764705882353
41,9,3,4,1.45,0.3625
41,9,4,9,2.11,0.23444444444444443
41,12,0,18,22.91,1.2727777777777778
41,12,1,5,5.71,1.142
41,12,2,19,13.5,0.7105263157894737
41,12,3,9,5.34,0.5933333333333333
41,12,4,6,2.48,0.41333333333333333
41,19,0,2,1.37,0.685
41,19,1,1,0.55,0.55
41,19,2,6,2.29,0.38166666666666665
41,19,3,3,0.76,0.25333333333333335
41,19,4,11,1.18,0.10727272727272727
41,46,0,11,26.64,2.421818181818182
41,46,1,14,31.69,2.263571428571429
41,46,2,4,4.63,1.1575
41,46,3,9,2.64,0.29333333333333333
41,46,4,8,2.03,0.25375
41,50,0,8,69.6,8.7
41,50,1,9,53.02,5.891111111111112
41,50,2,2,10.1,5.05
41,50,3,6,16.17,2.6950000000000003
41,50,4,6,12.97,2.1616666666666666
41,68,0,1,2.21,2.21
41,68,1,17,29.09,1.7111764705882353
41,68,2,10,14.32,1.432
41,68,3,10,10.41,1.041
41,68,4,6,4.0,0.6666666666666666
41,74,0,8,28.16,3.52
41,74,1,4,10.09,2.5225
41,74,2,17,36.32,2.1364705882352943
41,74,3,7,14.03,2.004285714285714
41,74,4,2,0.41,0.205
41,83,0,13,64.41,4.954615384615384
41,83,1,18,77.22,4.29
41,83,2,10,35.71,3.571
41,83,3,14,47.86,3.4185714285714286
41,83,4,8,15.06,1.8825
46,6,0,12,27.83,2.3191666666666664
46,6,1,9,9.63,1.07
46,6,2,5,5.06,1.012
46,6,3,2,0.57,0.285
46,6,4,5,0.63,0.126
46,9,0,13,7.86,0.6046153846153847
46,9,1,10,4.24,0.42400000000000004
46,9,2,6,0.79,0.13166666666666668
46,9,3,10,0.58,0.057999999999999996
46,9,4,15,0.45,0.030000000000000002
46,12,0,2,2.05,1.025
46,12,1,12,12.25,1.0208333333333333
46,12,2,18,6.69,0.3716666666666667
46,12,3,10,2.64,0.264
46,12,4,6,0.26,0.043333333333333335
46,19,0,9,7.95,0.8833333333333333
46,19,1,7,3.29,0.47000000000000003
