fromnode,tonode,c
3,3,0.0
3,5,0.618
3,10,1.279
3,11,0.12
3,16,0.592
3,17,0.364
3,24,0.559
3,26,1.537
3,29,1.551
3,31,0.417
3,47,0.787
3,48,1.021
3,49,0.572
3,51,0.523
3,58,0.662
3,62,0.685
3,63,1.111
3,64,0.077
3,73,2.374
3,82,1.904
3,83,1.507
3,84,2.359
3,87,1.166
3,90,0.173
3,95,0.172
5,3,0.618
5,5,0.0
5,10,0.748
5,11,0.692
5,16,0.116
5,17,0.346
5,24,0.063
5,26,1.002
5,29,1.344
5,31,0.621
5,47,0.204
5,48,0.808
5,49,0.204
5,51,0.355
5,58,0.735
5,62,0.329
5,63,0.541
5,64,0.673
5,73,2.301
5,82,1.725
5,83,1.009
5,84,2.035
5,87,0.692
5,90,0.743
5,95,0.763
10,3,1.279
10,5,0.748
10,10,0.0
10,11,1.312
10,16,0.85
10,17,0.917
10,24,0.806
10,26,0.259
10,29,0.914
10,31,1.044
10,47,0.741
10,48,0.633
10,49,0.709
10,51,0.776
10,58,0.958
10,62,0.602
10,63,0.226
10,64,1.349
10,73,1.884
10,82,1.255
10,83,0.269
10,84,1.38
10,87,0.172
10,90,1.343
10,95,1.345
11,3,0.12
11,5,0.692
11,10,1.312
11,11,0.0
11,16,0.679
11,17,0.397
11,24,0.635
11,26,1.567
11,29,1.514
11,31,0.37
11,47,0.871
11,48,0.999
11,49,0.616
11,51,0.54
11,58,0.61
11,62,0.711
11,63,1.158
11,64,0.145
11,73,2.307
11,82,1.857
11,83,1.528
11,84,2.333
11,87,1.188
11,90,0.063
11,95,0.071
16,3,0.592
16,5,0.116
16,10,0.85
16,11,0.679
16,16,0.0
16,17,0.387
16,24,0.095
16,26,1.1
16,29,1.459
16,31,0.672
16,47,0.195
16,48,0.92
16,49,0.302
16,51,0.438
16,58,0.814
16,62,0.439
16,63,0.635
16,64,0.636
16,73,2.411
16,82,1.84
16,83,1.114
16,84,2.15
16,87,0.804
16,90,0.736
16,95,0.75
17,3,0.364
17,5,0.346
17,10,0.917
17,11,0.397
17,16,0.387
17,17,0.0
17,24,0.307
17,26,1.174
17,29,1.252
17,31,0.284
17,47,0.548
17,48,0.703
17,49,0.221
17,51,0.165
17,58,0.457
17,62,0.32
17,63,0.761
17,64,0.438
17,73,2.144
17,82,1.622
17,83,1.142
17,84,2.03
17,87,0.801
17,90,0.436
17,95,0.463
24,3,0.559
24,5,0.063
24,10,0.806
24,11,0.635
24,16,0.095
24,17,0.307
24,24,0.0
24,26,1.061
24,29,1.372
24,31,0.589
24,47,0.244
24,48,0.83
24,49,0.208
24,51,0.344
24,58,0.722
24,62,0.35
24,63,0.601
24,64,0.611
24,73,2.32
24,82,1.753
24,83,1.065
24,84,2.078
24,87,0.743
24,90,0.688
24,95,0.706
26,3,1.537
26,5,1.002
26,10,0.259
26,11,1.567
26,16,1.1
26,17,1.174
26,24,1.061
26,26,0.0
26,29,0.928
26,31,1.286
26,47,0.976
26,48,0.8
26,49,0.967
26,51,1.029
26,58,1.177
26,62,0.857
26,63,0.465
26,64,1.608
26,73,1.843
26,82,1.217
26,83,0.135
26,84,1.224
26,87,0.39
26,90,1.596
26,95,1.628
29,3,1.551
29,5,1.344
29,10,0.914
29,11,1.514
29,16,1.459
29,17,1.252
29,24,1.372
29,26,0.928
29,29,0.0
29,31,1.144
29,47,1.46
29,48,0.552
29,49,1.172
29,51,1.097
29,58,0.908
29,62,1.023
29,63,1.067
29,64,1.627
29,73,0.985
29,82,0.381
29,83,0.794
29,84,0.84
29,87,0.797
29,90,1.505
29,95,1.541
31,3,0.417
31,5,0.621
31,10,1.044
31,11,0.37
31,16,0.672
31,17,0.284
31,24,0.589
31,26,1.286
31,29,1.144
31,31,0.0
31,47,0.824
31,48,0.638
31,49,0.451
31,51,0.304
31,58,0.244
31,62,0.466
31,63,0.936
31,64,0.489
31,73,1.959
31,82,1.489
31,83,1.226
31,84,1.966
31,87,0.897
31,90,0.364
31,95,0.401
47,3,0.787
47,5,0.204
47,10,0.741
47,11,0.871
47,16,0.195
47,17,0.548
47,24,0.244
47,26,0.976
47,29,1.46
47,31,0.824
47,47,0.0
47,48,0.948
47,49,0.396
47,51,0.552
47,58,0.93
47,62,0.49
47,63,0.516
47,64,0.831
47,73,2.434
47,82,1.839
47,83,1.011
47,84,2.093
47,87,0.733
47,90,0.927
47,95,0.943
48,3,1.021
48,5,0.808
48,10,0.633
48,11,0.999
48,16,0.92
48,17,0.703
48,24,0.83
48,26,0.8
48,29,0.552
48,31,0.638
48,47,0.948
48,48,0.0
48,49,0.625
48,51,0.546
48,58,0.438
48,62,0.48
48,63,0.676
48,64,1.098
48,73,1.492
48,82,0.928
48,83,0.697
48,84,1.337
48,87,0.462
48,90,1.001
48,95,1.037
49,3,0.572
49,5,0.204
49,10,0.709
49,11,0.616
49,16,0.302
49,17,0.221
49,24,0.208
49,26,0.967
49,29,1.172
49,31,0.451
49,47,0.396
49,48,0.625
49,49,0.0
49,51,0.157
49,58,0.535
49,62,0.152
49,63,0.541
49,64,0.641
49,73,2.113
49,82,1.552
49,83,0.947
49,84,1.902
49,87,0.609
49,90,0.656
49,95,0.683
51,3,0.523
51,5,0.355
51,10,0.776
51,11,0.54
51,16,0.438
51,17,0.165
51,24,0.344
51,26,1.029
51,29,1.097
51,31,0.304
51,47,0.552
51,48,0.546
51,49,0.157
51,51,0.0
51,58,0.38
51,62,0.175
51,63,0.642
51,64,0.598
51,73,2.009
51,82,1.471
51,83,0.989
51,84,1.866
51,87,0.648
51,90,0.567
51,95,0.599
58,3,0.662
58,5,0.735
58,10,0.958
58,11,0.61
58,16,0.814
58,17,0.457
58,24,0.722
58,26,1.177
58,29,0.908
58,31,0.244
58,47,0.93
58,48,0.438
58,49,0.535
58,51,0.38
58,58,0.0
58,62,0.475
58,63,0.903
58,64,0.733
58,73,1.717
58,82,1.246
58,83,1.095
58,84,1.739
58,87,0.793
58,90,0.597
58,95,0.633
62,3,0.685
62,5,0.329
62,10,0.602
62,11,0.711
62,16,0.439
62,17,0.32
62,24,0.35
62,26,0.857
62,29,1.023
62,31,0.466
62,47,0.49
62,48,0.48
62,49,0.152
62,51,0.175
62,58,0.475
62,62,0.0
62,63,0.471
62,64,0.758
62,73,1.972
62,82,1.403
62,83,0.822
62,84,1.751
62,87,0.481
62,90,0.741
62,95,0.772
63,3,1.111
63,5,0.541
63,10,0.226
63,11,1.158
63,16,0.635
63,17,0.761
63,24,0.601
63,26,0.465
63,29,1.067
63,31,0.936
63,47,0.516
63,48,0.676
63,49,0.541
63,51,0.642
63,58,0.903
63,62,0.471
63,63,0.0
63,64,1.177
63,73,2.05
63,82,1.428
63,83,0.495
63,84,1.599
